Customer,Age,Gender,Region,Category,Sales_Amount,Loyalty_Status,Ad_Budget_Expenditure
Hassan,56,Female,Sharjah,Clothing,236.0,Gold,7920.89
Fatima,46,Female,Fujairah,Electronic,115.89,Silver,9502.89
Sara,32,Female,Dubai,Grocery,145.74,Gold,8646.83
John,25,Male,Ajman,Clothing,67.31,Gold,3226.13
Omar,38,Male,Dubai,Grocery,139.72,Silver,5054.9
Omar,56,Female,Ajman,Electronic,698.86,Silver,2162.43
Fatima,36,Female,Dubai,Electronic,117.63,Silver,9586.46
Ahmed,40,Male,Fujairah,Electronic,353.03,Platinum,6455.57
Ali,28,Male,Ajman,Clothing,852.63,Silver,3057.79
Fatima,28,Female,Sharjah,Grocery,72.11,Gold,7045.31
Lina,41,Male,Dubai,Grocery,823.75,Silver,6563.15
Ali,53,Female,Dubai,Grocery,317.76,Platinum,4223.46
John,57,Female,Ajman,Electronic,162.26,Silver,2022.02
Ali,41,Male,Sharjah,Clothing,711.9,Platinum,7044.16
Ahmed,20,Male,Sharjah,Electronic,647.5,Platinum,5682.77
Ali,39,Female,Fujairah,Electronic,883.6,Silver,7950.87
John,19,Female,Sharjah,Grocery,748.32,Gold,5681.47
Ahmed,41,Male,Sharjah,Electronic,813.31,Platinum,8669.63
Noor,47,Female,Sharjah,Grocery,317.93,Silver,5967.16
Omar,55,Male,Abu Dhabi,Clothing,218.57,Silver,6048.44
Omar,19,Female,Fujairah,Grocery,763.08,Gold,8889.88
Hassan,38,Male,Dubai,Clothing,816.49,Platinum,4631.35
Noor,50,Male,Ajman,Grocery,990.98,Platinum,2206.14
Noor,29,Male,Dubai,Electronic,441.99,Silver,1259.04
Ali,39,Female,Fujairah,Electronic,403.42,Silver,7796.24
Omar,42,Female,Ajman,Clothing,787.59,Gold,6582.79
John,44,Male,Fujairah,Clothing,373.76,Gold,7336.72
Mona,59,Female,Sharjah,Clothing,934.22,Platinum,2916.68
Mona,45,Male,Ajman,Grocery,865.49,Platinum,2227.34
Ahmed,33,Male,Sharjah,Grocery,457.54,Silver,1130.9
Omar,32,Female,Dubai,Clothing,763.33,Platinum,4155.29
Omar,20,Female,Dubai,Electronic,766.82,Gold,6309.26
Mona,54,Male,Ajman,Grocery,147.97,Gold,4530.2
Omar,24,Female,Ajman,Grocery,907.43,Silver,4937.27
Ali,38,Female,Fujairah,Grocery,529.99,Gold,9137.43
Lina,26,Male,Fujairah,Clothing,835.13,Gold,4134.3
Sara,56,Male,Sharjah,Clothing,354.05,Gold,5625.91
Noor,35,Female,Ajman,Clothing,900.75,Gold,8052.88
Hassan,21,Male,Dubai,Clothing,419.74,Silver,4568.89
Ahmed,42,Male,Fujairah,Clothing,60.3,Silver,6598.78
Lina,31,Female,Fujairah,Electronic,910.11,Platinum,8761.27
Mona,26,Male,Dubai,Electronic,136.72,Gold,9545.69
Noor,43,Male,Fujairah,Clothing,353.35,Platinum,2323.66
Omar,19,Female,Sharjah,Grocery,952.56,Silver,9339.29
Hassan,37,Female,Ajman,Clothing,953.08,Silver,5429.05
Omar,45,Male,Dubai,Electronic,594.77,Silver,3324.2
John,24,Male,Ajman,Electronic,650.25,Silver,5132.22
John,25,Female,Fujairah,Grocery,476.02,Silver,9820.29
Hassan,52,Female,Fujairah,Electronic,328.55,Silver,5433.56
Hassan,31,Female,Dubai,Clothing,362.23,Silver,3958.76
Mona,34,Female,Sharjah,Grocery,688.89,Gold,6700.61
Hassan,53,Male,Abu Dhabi,Clothing,764.76,Platinum,3161.31
Ali,57,Female,Dubai,Clothing,802.0,Silver,1682.77
Omar,21,Female,Abu Dhabi,Grocery,800.14,Gold,2159.92
Lina,19,Male,Abu Dhabi,Clothing,136.65,Gold,2152.41
Fatima,23,Female,Sharjah,Electronic,519.7,Platinum,2367.12
Hassan,59,Male,Abu Dhabi,Clothing,104.68,Silver,2249.44
Ahmed,21,Female,Abu Dhabi,Grocery,572.05,Platinum,6767.87
John,46,Female,Sharjah,Grocery,469.45,Silver,2636.92
